mass_A
t x y
3.000000000E-2 2.675359085E0 2.083391438E1
4.000000000E-2 2.812643063E0 2.077967975E1
5.000000000E-2 3.036872845E0 2.067457258E1
6.000000000E-2 3.285601167E0 2.057777401E1
7.000000000E-2 3.524205419E0 2.044269332E1
8.000000000E-2 3.800417426E0 2.027750998E1
9.000000000E-2 4.104197311E0 2.013212123E1
1.000000000E-1 4.408722586E0 1.998102480E1
1.100000000E-1 4.754107405E0 1.981500606E1
1.200000000E-1 5.110264616E0 1.965452248E1
1.300000000E-1 5.504611757E0 1.945665264E1
1.400000000E-1 5.905866674E0 1.926549536E1
1.500000000E-1 6.331662165E0 1.905887061E1
1.600000000E-1 6.791253041E0 1.884812916E1
1.700000000E-1 7.270698017E0 1.860816744E1
1.800000000E-1 7.747809518E0 1.838558354E1
1.900000000E-1 8.270619914E0 1.815120515E1
2.000000000E-1 8.778686388E0 1.789482295E1
2.100000000E-1 9.314868069E0 1.763199369E1
2.200000000E-1 9.875179387E0 1.734803297E1
2.300000000E-1 1.045446101E1 1.706535685E1
2.400000000E-1 1.106702371E1 1.677844523E1
2.500000000E-1 1.169842866E1 1.647926867E1
2.600000000E-1 1.236099150E1 1.618652479E1
2.700000000E-1 1.300652015E1 1.589819881E1
2.800000000E-1 1.366408405E1 1.560789950E1
2.900000000E-1 1.436320310E1 1.531113146E1
3.000000000E-1 1.507545375E1 1.499386942E1
3.100000000E-1 1.582766737E1 1.466408692E1
3.200000000E-1 1.659620442E1 1.434278549E1
3.300000000E-1 1.733528093E1 1.401449254E1
3.400000000E-1 1.816531562E1 1.366763321E1
3.500000000E-1 1.897655400E1 1.334089213E1
3.600000000E-1 1.979374018E1 1.307567890E1
3.700000000E-1 2.077126250E1 1.295160403E1
3.800000000E-1 2.157632349E1 1.231260607E1
3.900000000E-1 2.242278945E1 1.192804713E1
4.000000000E-1 2.338294275E1 1.155771887E1
4.100000000E-1 2.434391080E1 1.117478412E1
4.200000000E-1 2.531063739E1 1.081476054E1
4.300000000E-1 2.631231511E1 1.043511254E1
4.400000000E-1 2.729796940E1 1.010633900E1
4.500000000E-1 2.830803049E1 9.723866002E0
4.600000000E-1 2.931104939E1 9.396204160E0
4.700000000E-1 3.040340800E1 9.016390984E0
4.800000000E-1 3.145854753E1 8.691525418E0
4.900000000E-1 3.255337442E1 8.312929292E0
5.000000000E-1 3.365403718E1 7.996425410E0
5.100000000E-1 3.479028037E1 7.629646412E0
5.200000000E-1 3.591529884E1 7.309312585E0
5.300000000E-1 3.705365120E1 6.989197822E0
5.400000000E-1 3.816505283E1 6.726878423E0
5.500000000E-1 3.939621964E1 6.777202645E0
5.600000000E-1 4.055617708E1 6.036827363E0
5.700000000E-1 4.179710947E1 5.669380188E0
5.800000000E-1 4.305847951E1 5.324377878E0
5.900000000E-1 4.428046144E1 5.012726183E0
6.000000000E-1 4.551524095E1 4.674368729E0
6.100000000E-1 4.676049374E1 4.352133104E0
6.200000000E-1 4.802271827E1 4.057785321E0
6.300000000E-1 4.929383609E1 3.763328784E0
6.400000000E-1 5.058654758E1 3.485770901E0
6.500000000E-1 5.189987441E1 3.227724156E0
6.600000000E-1 5.323325468E1 2.956481515E0
6.700000000E-1 5.455449436E1 2.777859439E0
6.800000000E-1 5.592555477E1 2.573221026E0
6.900000000E-1 5.721202669E1 2.536547661E0
7.000000000E-1 5.861285592E1 2.324954032E0
7.100000000E-1 5.992810824E1 2.205445801E0
7.200000000E-1 6.129873870E1 2.097360687E0
7.300000000E-1 6.268572598E1 2.000214970E0
7.400000000E-1 6.406342968E1 1.951439492E0
7.500000000E-1 6.545424090E1 1.925802722E0
7.600000000E-1 6.683984072E1 1.922654594E0
7.700000000E-1 6.820421685E1 1.946480445E0
7.800000000E-1 6.956601561E1 1.962948088E0
7.900000000E-1 7.090757620E1 1.985042509E0
8.000000000E-1 7.224348444E1 2.086018553E0
8.100000000E-1 7.359039295E1 2.160293600E0
8.200000000E-1 7.492663240E1 2.259062886E0
8.300000000E-1 7.617355851E1 2.819659254E0
8.400000000E-1 7.761801082E1 2.525321579E0
8.500000000E-1 7.888217227E1 2.663644764E0
8.600000000E-1 8.017181395E1 2.833534495E0
8.700000000E-1 8.143776162E1 3.057060482E0
8.800000000E-1 8.268737249E1 3.262818417E0
8.900000000E-1 8.394035377E1 3.511897820E0
9.000000000E-1 8.518704478E1 3.784054656E0
9.100000000E-1 8.639051259E1 4.065504479E0
9.200000000E-1 8.759296214E1 4.352957723E0
9.300000000E-1 8.874744813E1 4.643003183E0
9.400000000E-1 8.988359349E1 4.938759257E0
9.500000000E-1 9.100531712E1 5.245499285E0
9.600000000E-1 9.213742322E1 5.583204505E0
9.700000000E-1 9.322059558E1 5.905379021E0
9.800000000E-1 9.420727357E1 6.670303661E0
9.900000000E-1 9.517991871E1 6.879257817E0
1.000000000E0 9.641226569E1 6.864767902E0
1.010000000E0 9.746055853E1 7.170095767E0
1.020000000E0 9.848573982E1 7.466701315E0
1.030000000E0 9.946288540E1 7.766198534E0
1.040000000E0 1.004386727E2 8.061942611E0
1.050000000E0 1.014090403E2 8.384353274E0
1.060000000E0 1.023550231E2 8.707053576E0
1.070000000E0 1.032487701E2 8.994765994E0
1.080000000E0 1.041428299E2 9.288731380E0
1.090000000E0 1.050096504E2 9.589929495E0
1.100000000E0 1.058922191E2 9.869626810E0
1.110000000E0 1.067433140E2 1.015646227E1
1.120000000E0 1.075684634E2 1.047342973E1
1.130000000E0 1.083547333E2 1.074291977E1
1.140000000E0 1.091388831E2 1.102825683E1
1.150000000E0 1.098942916E2 1.131896858E1
1.160000000E0 1.106639595E2 1.161197937E1
1.170000000E0 1.113873972E2 1.191384757E1
1.180000000E0 1.120470317E2 1.222373078E1
1.190000000E0 1.126805394E2 1.251700502E1
1.200000000E0 1.133067096E2 1.287027275E1
1.210000000E0 1.139397557E2 1.309195883E1
1.220000000E0 1.145867072E2 1.326923311E1
1.230000000E0 1.151566844E2 1.349591242E1
1.240000000E0 1.157549168E2 1.375697642E1
1.250000000E0 1.163046711E2 1.399075683E1
1.260000000E0 1.168386334E2 1.421192773E1
1.270000000E0 1.173635471E2 1.445405503E1
1.280000000E0 1.178478687E2 1.467120984E1
1.290000000E0 1.183120155E2 1.489914473E1
1.300000000E0 1.187452418E2 1.507910965E1
1.310000000E0 1.191758269E2 1.529521794E1
1.320000000E0 1.195766001E2 1.548372427E1
1.330000000E0 1.199557326E2 1.564657660E1
1.340000000E0 1.202999869E2 1.580223217E1
1.350000000E0 1.206524502E2 1.596016638E1
1.360000000E0 1.209770139E2 1.609162635E1
1.370000000E0 1.212679844E2 1.620710428E1
1.380000000E0 1.215468192E2 1.633630443E1
1.390000000E0 1.218058212E2 1.647025895E1
1.400000000E0 1.220289338E2 1.658899588E1
1.410000000E0 1.222412454E2 1.670144366E1
1.420000000E0 1.224090160E2 1.677098287E1
1.430000000E0 1.225782063E2 1.687121833E1
1.440000000E0 1.227017947E2 1.691601686E1
1.450000000E0 1.228381753E2 1.700602121E1
1.460000000E0 1.229504454E2 1.703979401E1
1.470000000E0 1.230304559E2 1.708399403E1
1.480000000E0 1.231091447E2 1.711814263E1
1.490000000E0 1.231419421E2 1.715885948E1
1.500000000E0 1.231842586E2 1.717126691E1
1.510000000E0 1.232088669E2 1.717166219E1
1.520000000E0 1.232013539E2 1.716876863E1
1.530000000E0 1.231498328E2 1.715814131E1
1.540000000E0 1.230950180E2 1.714943170E1
1.550000000E0 1.230118670E2 1.710528251E1
1.560000000E0 1.229167947E2 1.706227025E1
1.570000000E0 1.228079865E2 1.702202528E1
1.580000000E0 1.226710568E2 1.694109461E1
1.590000000E0 1.225287866E2 1.687942845E1
1.600000000E0 1.223563000E2 1.677281325E1
1.610000000E0 1.221467672E2 1.669675904E1
1.620000000E0 1.219501567E2 1.660320704E1
1.630000000E0 1.216945502E2 1.647465176E1
1.640000000E0 1.214211760E2 1.633572078E1
1.650000000E0 1.211394748E2 1.619981894E1
1.660000000E0 1.208464976E2 1.604999285E1
1.670000000E0 1.205414733E2 1.590625057E1
1.680000000E0 1.201717049E2 1.575344023E1
1.690000000E0 1.198299442E2 1.560126177E1
1.700000000E0 1.194290811E2 1.539827514E1
1.710000000E0 1.190174288E2 1.520289260E1
1.720000000E0 1.185939275E2 1.502218062E1
1.730000000E0 1.181559131E2 1.479140205E1
1.740000000E0 1.177049678E2 1.461456477E1
1.750000000E0 1.171948854E2 1.436483271E1
1.760000000E0 1.166697318E2 1.412587525E1
1.770000000E0 1.161731712E2 1.391636628E1
1.780000000E0 1.156259965E2 1.366305876E1
1.790000000E0 1.150676742E2 1.341576257E1
1.800000000E0 1.145152605E2 1.320561640E1
1.810000000E0 1.138910172E2 1.303721739E1
1.820000000E0 1.132244099E2 1.293855338E1
1.830000000E0 1.126596233E2 1.246619949E1
1.840000000E0 1.120547647E2 1.215918201E1
1.850000000E0 1.114106735E2 1.183719496E1
1.860000000E0 1.107024958E2 1.154756314E1
1.870000000E0 1.099874036E2 1.125413866E1
1.880000000E0 1.092265045E2 1.097079854E1
1.890000000E0 1.084746706E2 1.068285414E1
1.900000000E0 1.077260733E2 1.040450499E1
1.910000000E0 1.069225211E2 1.011640997E1
1.920000000E0 1.061135913E2 9.829966379E0
1.930000000E0 1.052901230E2 9.558565872E0
1.940000000E0 1.044892206E2 9.278563272E0
1.950000000E0 1.036468871E2 8.995546607E0
1.960000000E0 1.027980671E2 8.716500124E0
1.970000000E0 1.019199206E2 8.435694108E0
1.980000000E0 1.010238815E2 8.147751481E0
1.990000000E0 1.001256999E2 7.865919969E0
2.000000000E0 9.918331621E1 7.579164822E0
2.010000000E0 9.821545154E1 7.294880782E0
2.020000000E0 9.725462170E1 7.010053682E0
2.030000000E0 9.631907960E1 6.724663916E0
2.040000000E0 9.531735312E1 6.544155078E0
2.050000000E0 9.432995562E1 6.190950141E0
2.060000000E0 9.335591280E1 5.826619234E0
2.070000000E0 9.233420065E1 5.508652472E0
2.080000000E0 9.129942441E1 5.196947944E0
2.090000000E0 9.025844388E1 4.916446333E0
2.100000000E0 8.919466273E1 4.629694419E0
2.110000000E0 8.811622678E1 4.354549187E0
2.120000000E0 8.703680561E1 4.072263364E0
2.130000000E0 8.591099727E1 3.798054524E0
2.140000000E0 8.478032383E1 3.532665386E0
2.150000000E0 8.366053655E1 3.318535033E0
2.160000000E0 8.252695138E1 3.095605619E0
2.170000000E0 8.138369020E1 2.923875983E0
2.180000000E0 8.024246679E1 2.741161704E0
2.190000000E0 7.906055899E1 2.566104739E0
2.200000000E0 7.791021111E1 2.437669859E0
2.210000000E0 7.665130219E1 2.750935056E0
2.220000000E0 7.549418298E1 2.202932757E0
2.230000000E0 7.432222736E1 2.091026682E0
2.240000000E0 7.310423076E1 1.995374135E0
2.250000000E0 7.192661002E1 1.935961917E0
2.260000000E0 7.073075909E1 1.861891194E0
2.270000000E0 6.956263360E1 1.818369714E0
2.280000000E0 6.837352078E1 1.805478532E0
2.290000000E0 6.717996925E1 1.806366310E0
2.300000000E0 6.600145511E1 1.810935451E0
2.310000000E0 6.480201442E1 1.826331703E0
2.320000000E0 6.364186589E1 1.859152319E0
2.330000000E0 6.247322719E1 1.940556988E0
2.340000000E0 6.130418394E1 1.984385632E0
2.350000000E0 6.013367049E1 2.095771333E0
2.360000000E0 5.903909499E1 2.216148597E0
2.370000000E0 5.791745897E1 2.767722476E0
2.380000000E0 5.674365738E1 2.440135124E0
2.390000000E0 5.566339188E1 2.528160602E0
2.400000000E0 5.452609387E1 2.682090358E0
2.410000000E0 5.342808190E1 2.862271668E0
2.420000000E0 5.234260254E1 3.054339476E0
2.430000000E0 5.128326436E1 3.249761879E0
2.440000000E0 5.023914544E1 3.483502248E0
2.450000000E0 4.920235640E1 3.731967452E0
2.460000000E0 4.820812135E1 3.955302942E0
2.470000000E0 4.720362110E1 4.210740539E0
